Name,Class,Joined,Job,TicketCost,Age,Gender,Survived,Department
"CAVENDISH, Mrs Julia Florence",1st Class Passenger,Southampton,,78.85,25,Female,TRUE,
"CHAFFEE, Mr Herbert Fuller",1st Class Passenger,Southampton,,61.175,46,Male,FALSE,
"CHAFFEE, Mrs Carrie Constance",1st Class Passenger,Southampton,,61.175,47,Female,TRUE,
"CHAMBERS, Mr Norman Campbell",1st Class Passenger,Southampton,,53.1,27,Male,TRUE,
"CHAMBERS, Mrs Bertha",1st Class Passenger,Southampton,,53.1,32,Female,TRUE,
"CHAUDANSON, Miss Victorine",1st Class Passenger,Cherbourg,Personal Maid,262.375,36,Female,TRUE,Servant
"CHERRY, Miss Gladys",1st Class Passenger,Southampton,Of Independent Means,86.5,30,Female,TRUE,
"CHEVRý, Mr Paul Romaine Marie Lýonce",1st Class Passenger,Cherbourg,Sculptor,29.7,45,Male,TRUE,
"CHIBNALL, Mrs Edith Martha Bowerman",1st Class Passenger,Southampton,Of Independent Means,55,48,Female,TRUE,
"CHISHOLM, Mr Roderick Robert Crispin",1st Class Passenger,Belfast,Draughtsman,0,43,Male,FALSE,H&W Guarantee Group
"CLARK, Mr Walter Miller",1st Class Passenger,Cherbourg,,136.7791667,27,Male,FALSE,
"CLARK, Mrs Virginia Estelle",1st Class Passenger,Cherbourg,,136.7791667,26,Female,TRUE,
"CLEAVER, Miss Alice Catherine",1st Class Passenger,Southampton,Nursemaid,151.8,22,Female,TRUE,Servant
"CLIFFORD, Mr George Quincy",1st Class Passenger,Southampton,,52,40,Male,FALSE,
"COLLEY, Mr Edward Pomeroy",1st Class Passenger,Southampton,,25.5875,37,Male,FALSE,
"COMPTON, Mrs Mary Eliza",1st Class Passenger,Cherbourg,,83.15833333,64,Female,TRUE,
"COMPTON, Miss Sara Rebecca",1st Class Passenger,Cherbourg,,83.15833333,39,Female,TRUE,
"COMPTON, Mr Alexander Taylor jr",1st Class Passenger,Cherbourg,,83.15833333,37,Male,FALSE,
"CORNELL, Mrs Malvina Helen",1st Class Passenger,Southampton,,25.74166667,55,Female,TRUE,
"CRAFTON, Mr John Bertram",1st Class Passenger,Southampton,Businessman,26.55,59,Male,FALSE,
"CROSBY, Captain Edward Gifford",1st Class Passenger,Southampton,,71,70,Male,FALSE,
"CROSBY, Mrs Catherine Elizabeth",1st Class Passenger,Southampton,,71,64,Female,TRUE,
"CROSBY, Miss Harriette Rebecca",1st Class Passenger,Southampton,,26.55,39,Female,TRUE,
"CUMINGS, Mr John Bradley",1st Class Passenger,Cherbourg,,71.28333333,39,Male,FALSE,
"CUMINGS, Mrs Florence Briggs",1st Class Passenger,Cherbourg,,71.28333333,35,Female,TRUE,
"DALY, Mr Peter Dennis",1st Class Passenger,Southampton,Businessman,26.55,51,Male,TRUE,
"DANIEL, Mr Robert Williams",1st Class Passenger,Southampton,,30.5,27,Male,TRUE,
"DANIELS, Miss Sarah Rebecca",1st Class Passenger,Southampton,Personal Maid,151.8,33,Female,TRUE,Servant
"DAVIDSON, Mr Thornton",1st Class Passenger,Cherbourg,,52,31,Male,FALSE,
"DAVIDSON, Mrs Orian",1st Class Passenger,Cherbourg,,52,27,Female,TRUE,
"DICK, Mr Albert Adrian",1st Class Passenger,Southampton,,57,31,Male,TRUE,
"DICK, Mrs Vera",1st Class Passenger,Southampton,,57,17,Female,TRUE,
"DODGE, Dr Washington",1st Class Passenger,Southampton,Politician,81.85833333,52,Male,TRUE,
"DODGE, Mrs Ruth",1st Class Passenger,Southampton,,81.85833333,34,Female,TRUE,
"DODGE, Master Washington",1st Class Passenger,Southampton,,81.85833333,4,Male,TRUE,
"DOUGLAS, Mr Walter Donald",1st Class Passenger,Cherbourg,,106.425,50,Female,FALSE,
"DOUGLAS, Mrs Mahala",1st Class Passenger,Cherbourg,,106.425,48,Female,TRUE,
"DOUGLAS, Mrs Mary Hýlýne",1st Class Passenger,Cherbourg,,247.5208333,27,Female,TRUE,
"DUFF GORDON, Sir Cosmo Edmund",1st Class Passenger,Cherbourg,Landowner,39.6,49,Male,TRUE,
"DUFF GORDON, Lucy Christiana",1st Class Passenger,Cherbourg,Dressmaker / Couturi?re,56.92916667,48,Female,TRUE,
"DULLES, Mr William Crothers",1st Class Passenger,Cherbourg,,29.7,39,Male,FALSE,
"EARNSHAW, Mrs Olive",1st Class Passenger,Cherbourg,Of Independent Means,83.15833333,23,Female,TRUE,
"ENDRES, Miss Caroline Louise",1st Class Passenger,Cherbourg,Nurse,247.525,39,Female,TRUE,Servant
"EUSTIS, Miss Elizabeth Mussey",1st Class Passenger,Cherbourg,,78.26666667,54,Female,TRUE,
"EVANS, Miss Edith Corse",1st Class Passenger,Cherbourg,,31.67916667,36,Female,FALSE,
"FARTHING, Mr John",1st Class Passenger,Southampton,Servant,221.7791667,57,Male,FALSE,Servant
"FLEGENHEIM, Mrs Antoinette",1st Class Passenger,Cherbourg,,31.68333333,48,Female,TRUE,
"FLEMING, Miss Margaret",1st Class Passenger,Cherbourg,Personal Maid,110.8833333,42,Female,TRUE,Servant
"FLYNN, Mr John Irwin",1st Class Passenger,Southampton,,26.2875,36,Male,TRUE,
"FOREMAN, Mr Benjamin Laventall",1st Class Passenger,Southampton,,27.75,30,Male,FALSE,
"FORTUNE, Mr Mark",1st Class Passenger,Southampton,,263,64,Male,FALSE,
"FORTUNE, Mrs Mary",1st Class Passenger,Southampton,,263,60,Female,TRUE,
"FORTUNE, Miss Ethel Flora",1st Class Passenger,Southampton,,263,28,Female,TRUE,
"FORTUNE, Miss Alice Elizabeth",1st Class Passenger,Southampton,,263,24,Female,TRUE,
"FORTUNE, Miss Mabel Helen",1st Class Passenger,Southampton,,263,23,Female,TRUE,
"FORTUNE, Mr Charles Alexander",1st Class Passenger,Southampton,,263,19,Male,FALSE,
"FRANCATELLI, Miss Laura Mabel",1st Class Passenger,Cherbourg,Secretary,56.92916667,31,Female,TRUE,Servant
"FRANKLIN, Mr Thomas Parnham",1st Class Passenger,Southampton,,26.55,37,Male,FALSE,
"FRAUENTHAL, Mr Isaac Gerald",1st Class Passenger,Cherbourg,,27.72083333,43,Male,TRUE,
"FRAUENTHAL, Dr Henry William",1st Class Passenger,Southampton,Doctor,133.65,49,Male,TRUE,
"FRAUENTHAL, Mrs Clara",1st Class Passenger,Southampton,,133.65,42,Female,TRUE,
"FRýLICHER, Miss Hedwig Margaritha",1st Class Passenger,Cherbourg,,49.5,22,Female,TRUE,
"FRýLICHER-STEHLI, Mr Maximilian Josef",1st Class Passenger,Cherbourg,,79.2,60,Male,TRUE,
"FRýLICHER-STEHLI, Mrs Margaretha Emerentia",1st Class Passenger,Cherbourg,,79.2,48,Female,TRUE,
"FRY, Mr Richard",1st Class Passenger,Southampton,Servant,0,39,Male,FALSE,Servant
"FUTRELLE, Mr Jacques Heath",1st Class Passenger,Southampton,Writer,53.1,37,Male,FALSE,
"FUTRELLE, Mrs Lily May",1st Class Passenger,Southampton,,53.1,35,Female,TRUE,
"GEE, Mr Arthur H.",1st Class Passenger,Southampton,,38.5,47,Male,FALSE,
"GIBSON, Mrs Pauline Caroline",1st Class Passenger,Cherbourg,,59.4,44,Female,TRUE,
"GIBSON, Miss Dorothy Winifred",1st Class Passenger,Cherbourg,,59.4,22,Female,TRUE,
"GIEGER, Miss Amalie",1st Class Passenger,Southampton,Personal Maid,211.5,35,Female,TRUE,Servant
"GIGLIO, Mr Victor Gaitan Andrea",1st Class Passenger,Cherbourg,Servant,79.2,23,Male,FALSE,Servant
"GOLDENBERG, Mr Samuel L.",1st Class Passenger,Cherbourg,,89.10416667,47,Male,TRUE,
"GOLDENBERG, Mrs Nella",1st Class Passenger,Cherbourg,,89.10416667,40,Female,TRUE,
"GOLDSCHMIDT, Mr George B.",1st Class Passenger,Cherbourg,Lawyer,34.65416667,71,Male,FALSE,
"GRACIE, Colonel Archibald",1st Class Passenger,Southampton,Writer,28.5,53,Male,TRUE,
"GRAHAM, Mr George Edward",1st Class Passenger,Southampton,Sales Manager,30,38,Male,FALSE,
"GRAHAM, Mrs Edith",1st Class Passenger,Southampton,,153.4625,59,Female,TRUE,
"GRAHAM, Miss Margaret Edith",1st Class Passenger,Southampton,,153.4625,19,Female,TRUE,
"GREENFIELD, Mrs Blanche",1st Class Passenger,Cherbourg,,63.35833333,45,Female,TRUE,
"GREENFIELD, Mr William Bertram",1st Class Passenger,Cherbourg,,63.35833333,23,Male,TRUE,
"GUGGENHEIM, Mr Benjamin",1st Class Passenger,Cherbourg,Businessman,79.2,46,Male,FALSE,
"HARDER, Mr George Achilles",1st Class Passenger,Cherbourg,Businessman,55.44166667,25,Male,TRUE,
"HARDER, Mrs Dorothy",1st Class Passenger,Cherbourg,,55.44166667,21,Female,TRUE,
"HARPER, Mr Henry Sleeper",1st Class Passenger,Cherbourg,Of Independent Means,76.72916667,48,Male,TRUE,
"HARPER, Mrs Myra Raymond",1st Class Passenger,Cherbourg,,76.72916667,49,Female,TRUE,
"HARRINGTON, Mr Charles Henry",1st Class Passenger,Southampton,Servant,42.4,37,Male,FALSE,Servant
"HARRIS, Mr Henry Birkhardt",1st Class Passenger,Southampton,Theatre Manager,83.475,45,Male,FALSE,
"HARRIS, Mrs Irene",1st Class Passenger,Southampton,,83.475,35,Female,TRUE,
"HARRISON, Mr William Henry",1st Class Passenger,Southampton,Secretary,0,45,Male,FALSE,Servant
"HASSAB, Mr Hammad",1st Class Passenger,Cherbourg,Servant,76.72916667,27,Male,TRUE,Servant
"HAWKSFORD, Mr Walter James",1st Class Passenger,Southampton,Sales Manager,30,45,Male,TRUE,
"HAYS, Mr Charles Melville",1st Class Passenger,Southampton,Businessman,93.5,55,Male,FALSE,
"HAYS, Mrs Clara Jennings",1st Class Passenger,Southampton,,93.5,52,Female,TRUE,
"HAYS, Miss Margaret Bechstein",1st Class Passenger,Cherbourg,,83.15833333,24,Female,TRUE,
"HEAD, Mr Christopher",1st Class Passenger,Southampton,Politician,42.5,42,Male,FALSE,
"HILLIARD, Mr Herbert Henry",1st Class Passenger,Southampton,Buyer,51.8625,44,Male,FALSE,
"HIPKINS, Mr William Edward",1st Class Passenger,Southampton,Manufacturer,50,55,Male,FALSE,
"HIPPACH, Mrs Ida Sophia",1st Class Passenger,Cherbourg,,57.97916667,44,Female,TRUE,
"HIPPACH, Miss Jean Gertrude",1st Class Passenger,Cherbourg,,57.97916667,17,Female,TRUE,
"HOGEBOOM, Mrs Anna Louisa",1st Class Passenger,Cherbourg,Of Independent Means,77.95833333,51,Female,TRUE,
"HOLVERSON, Mr Alexander Oskar",1st Class Passenger,Southampton,,52,42,Male,FALSE,
"HOLVERSON, Mrs Mary Aline",1st Class Passenger,Southampton,,52,35,Female,TRUE,
"HOMER, Mr Harry",1st Class Passenger,Southampton,Gambler,26.55,40,Male,TRUE,
"HOYT, Mr Frederick Maxfield",1st Class Passenger,Southampton,,100,38,Male,TRUE,
"HOYT, Mrs Jane Anne",1st Class Passenger,Southampton,,100,31,Female,TRUE,
"HOYT, Mr William Fisher",1st Class Passenger,Cherbourg,Businessman,30.69583333,42,Male,FALSE,
"ICARD, Miss Rose Amýlie",1st Class Passenger,Southampton,Personal Maid,80,39,Female,TRUE,Servant
"ISHAM, Miss Ann Elizabeth",1st Class Passenger,Cherbourg,,28.7125,50,Female,FALSE,
"ISMAY, Mr Joseph Bruce",1st Class Passenger,Southampton,Shipowner,0,49,Male,TRUE,
"JONES, Mr Charles Cresson",1st Class Passenger,Southampton,Estate Manager,26,46,Male,FALSE,
"JULIAN, Mr Henry Forbes",1st Class Passenger,Southampton,Metallurgist,26,50,Male,FALSE,
"KEEPING, Mr Edwin Herbert",1st Class Passenger,Southampton,Servant,211.5,33,Male,FALSE,Servant
"KENT, Mr Edward Austin",1st Class Passenger,Cherbourg,Architect,29.7,58,Male,FALSE,
"KENYON, Mr Frederick Roland",1st Class Passenger,Southampton,,51.8625,41,Male,FALSE,
"KENYON, Mrs Marion Estelle",1st Class Passenger,Southampton,,51.8625,40,Female,TRUE,
"KIMBALL, Mr Edwin Nelson Jr.",1st Class Passenger,Southampton,,52.55416667,42,Male,TRUE,
"KIMBALL, Mrs Susan Gertrude",1st Class Passenger,Southampton,,52.55416667,45,Female,TRUE,
"KLABER, Mr Herman",1st Class Passenger,Southampton,Businessman,26.55,42,Male,FALSE,
"KREUCHEN, Miss Emilie",1st Class Passenger,Southampton,Personal Maid,211.3375,29,Female,TRUE,Servant
"LEADER, Dr Alice May",1st Class Passenger,Southampton,Doctor,25.92916667,49,Male,TRUE,
"LEROY, Miss Berthe",1st Class Passenger,Cherbourg,Personal Maid,106.425,27,Female,TRUE,Servant
"LESUEUR, Mr Gustave J.",1st Class Passenger,Cherbourg,Servant,512.3291667,35,Male,TRUE,Servant
"LEWY, Mr Ervin G.",1st Class Passenger,Cherbourg,Jeweller,27.72083333,30,Male,FALSE,
"LINDEBERG-LIND, Mr Erik Gustaf",1st Class Passenger,Southampton,Businessman,26.55,42,Male,FALSE,
"LINDSTRýM, Mrs Sigrid",1st Class Passenger,Cherbourg,,27.72083333,55,Female,TRUE,
"LINES, Mrs Elizabeth Lindsey",1st Class Passenger,Cherbourg,,39.4,50,Female,TRUE,
"LINES, Miss Mary Conover",1st Class Passenger,Cherbourg,,39.4,16,Female,TRUE,
"LONG, Mr Milton Clyde",1st Class Passenger,Southampton,,30,29,Male,FALSE,
"LONGLEY, Miss Gretchen Fiske",1st Class Passenger,Cherbourg,,77.95833333,21,Female,TRUE,
"LORING, Mr Joseph Holland",1st Class Passenger,Southampton,Stockbroker,45.5,30,Male,FALSE,
"LURETTE, Miss Eugýnie Elise",1st Class Passenger,Cherbourg,Personal Maid,146.5208333,59,Female,TRUE,Servant
"MADILL, Miss Georgette Alexandra",1st Class Passenger,Southampton,,211.3375,16,Female,TRUE,
"MAGUIRE, Mr John Edward",1st Class Passenger,Southampton,,26,30,Male,FALSE,
"MAIONI, Miss Roberta Elizabeth Mary",1st Class Passenger,Southampton,Personal Maid,86.5,19,Female,TRUE,Servant
"MARýCHAL, Mr Pierre",1st Class Passenger,Cherbourg,Aviator,29.7,29,Male,TRUE,
"MARVIN, Mr Daniel Warner",1st Class Passenger,Southampton,Of Independent Means,53.1,18,Male,FALSE,
"MARVIN, Mrs Mary Graham Carmichael",1st Class Passenger,Southampton,,53.1,18,Female,TRUE,
"MAYNý, Mlle Berthe Antonine",1st Class Passenger,Cherbourg,Singer,49.50416667,24,Female,TRUE,
"MCCAFFRY, Mr Thomas Francis",1st Class Passenger,Southampton,Banker,75.24166667,46,Male,FALSE,
"MCCARTHY, Mr Timothy J.",1st Class Passenger,Southampton,Buyer,51.8625,54,Male,FALSE,
"MCGOUGH, Mr James Robert",1st Class Passenger,Southampton,Buyer,26.2875,35,Male,TRUE,
"MEYER, Mr Edgar Joseph",1st Class Passenger,Cherbourg,Mechanical Engineer,82.17083333,28,Male,FALSE,
"MEYER, Mrs Leila",1st Class Passenger,Cherbourg,,82.17083333,25,Female,TRUE,
"MILLET, Mr Francis Davis",1st Class Passenger,Cherbourg,Artist,26.55,65,Male,FALSE,
"MINAHAN, Dr William Edward",1st Class Passenger,Queenstown,Merchant,90,44,Male,FALSE,
"MINAHAN, Mrs Lillian E.",1st Class Passenger,Queenstown,,90,37,Female,TRUE,
"MINAHAN, Miss Daisy E.",1st Class Passenger,Queenstown,,90,33,Female,TRUE,
"MOCK, Mr Philipp Edmund",1st Class Passenger,Cherbourg,,57.75,30,Male,TRUE,
"MOLSON, Mr Harry Markland",1st Class Passenger,Southampton,Businessman,30.5,55,Male,FALSE,
"MOORE, Mr Clarence Bloomfield",1st Class Passenger,Southampton,Businessman,42.4,47,Male,FALSE,
"NATSCH, Mr Charles",1st Class Passenger,Cherbourg,,29.7,36,Male,FALSE,
"NEWELL, Mr Arthur Webster",1st Class Passenger,Cherbourg,,113.275,58,Male,FALSE,
"NEWELL, Miss Marjorie Anne",1st Class Passenger,Cherbourg,,113.275,23,Female,TRUE,
"NEWELL, Miss Madeleine",1st Class Passenger,Cherbourg,,113.275,31,Female,TRUE,
"NEWSOM, Miss Helen Monypeny",1st Class Passenger,Southampton,,26.28333333,19,Female,TRUE,
"NICHOLSON, Mr Arthur Ernest",1st Class Passenger,Southampton,,26,59,Male,FALSE,
"NOURNEY, Mr Alfred",1st Class Passenger,Cherbourg,Gentleman,13.8625,20,Male,TRUE,
"OLIVA Y OCANA, Doýa Fermina",1st Class Passenger,Cherbourg,Personal Maid,108.9,39,Male,TRUE,Servant
"OMONT, Mr Alfred Fernand",1st Class Passenger,Cherbourg,Dealer,25.74166667,29,Male,TRUE,
"OSTBY, Mr Engelhart Cornelius",1st Class Passenger,Southampton,Jeweller,61.97916667,64,Male,FALSE,
"OVIýS Y RODRýGUEZ, Mr Servando Josý Florentino",1st Class Passenger,Cherbourg,Merchant,27.72083333,36,Male,FALSE,
"PARR, Mr William Henry Marsh",1st Class Passenger,Belfast,Electrician,0,29,Male,FALSE,H&W Guarantee Group
"PARTNER, Mr Austin",1st Class Passenger,Southampton,Stockbroker,28.5,40,Male,FALSE,
"PAYNE, Mr Vivian Ponsonby",1st Class Passenger,Southampton,Clerk,93.5,22,Male,FALSE,Servant
"PEARS, Mr Thomas Clinton",1st Class Passenger,Southampton,Of Independent Means,66.6,29,Male,FALSE,
"PEARS, Mrs Edith",1st Class Passenger,Southampton,,66.6,22,Female,TRUE,
"PEýASCO Y CASTELLANA, Mr Victor",1st Class Passenger,Cherbourg,Of Independent Means,108.9,24,Male,FALSE,
"PEýASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo",1st Class Passenger,Cherbourg,Of Independent Means,108.9,22,Female,TRUE,
"PERREAULT, Miss Mary Anne",1st Class Passenger,Southampton,Personal Maid,93.5,33,Female,TRUE,Servant
"PEUCHEN, Major Arthur Godfrey",1st Class Passenger,Southampton,,30.5,52,Male,TRUE,
"PORTER, Mr Walter Chamberlain",1st Class Passenger,Southampton,,52,46,Male,FALSE,
"POTTER, Mrs Lily Alexenia",1st Class Passenger,Cherbourg,,83.15833333,56,Female,TRUE,
"REUCHLIN, Mr Jonkheer Johan George",1st Class Passenger,Cherbourg,,0,38,Male,FALSE,
"RHEIMS, Mr George Alexander Lucien",1st Class Passenger,Cherbourg,Businessman,39.6,33,Male,TRUE,
"RIGHINI, Mr Sante",1st Class Passenger,Cherbourg,Servant,135.6333333,22,Male,FALSE,Servant
"ROBERT, Mrs Elisabeth Walton",1st Class Passenger,Southampton,Of Independent Means,211.3375,43,Female,TRUE,
"ROBINS, Mr Victor",1st Class Passenger,Cherbourg,Servant,247.525,42,Male,FALSE,Servant
"ROEBLING, Mr Washington Augustus II",1st Class Passenger,Southampton,Of Independent Means,50.49583333,31,Male,FALSE,
"ROMAINE, Mr Charles Hallace",1st Class Passenger,Southampton,,26.55,45,Male,TRUE,
"ROOD, Mr Hugh Roscoe",1st Class Passenger,Southampton,Businessman,50,39,Male,FALSE,
"ROSENBAUM, Miss Edith Louise",1st Class Passenger,Cherbourg,Journalist,27.72083333,33,Female,TRUE,
"ROSENSHINE, Mr George",1st Class Passenger,Cherbourg,Merchant,79.2,46,Male,FALSE,
"ROSS, Mr John Hugo",1st Class Passenger,Southampton,,40.125,36,Male,FALSE,
"ROTHES, Lucy Noýl Martha",1st Class Passenger,Southampton,Of Independent Means,86.5,33,Female,TRUE,
"ROTHSCHILD, Mr Martin",1st Class Passenger,Cherbourg,,59.4,46,Male,FALSE,
"ROTHSCHILD, Mrs Elizabeth Jane Anne",1st Class Passenger,Cherbourg,,59.4,54,Female,TRUE,
"ROWE, Mr Alfred G.",1st Class Passenger,Southampton,Landowner,26.55,59,Male,FALSE,
"RYERSON, Mr Arthur Larned",1st Class Passenger,Cherbourg,,262.375,61,Male,FALSE,
"RYERSON, Mrs Emily Maria",1st Class Passenger,Cherbourg,,262.375,48,Female,TRUE,
"RYERSON, Miss Emily Borie",1st Class Passenger,Cherbourg,,262.375,18,Female,TRUE,
"RYERSON, Miss Susan Parker ""Suzette""",1st Class Passenger,Cherbourg,,262.375,21,Female,TRUE,
"RYERSON, Master John Borie",1st Class Passenger,Cherbourg,,262.375,13,Male,TRUE,
"SAALFELD, Mr Adolphe",1st Class Passenger,Southampton,Businessman,30.5,47,Male,TRUE,
"SALOMON, Mr Abraham Lincoln",1st Class Passenger,Cherbourg,Businessman,26,43,Male,TRUE,
"SýGESSER, Mlle Emma",1st Class Passenger,Cherbourg,Personal Maid,69.3,24,Female,TRUE,Servant
"SCHABERT, Mrs Emma",1st Class Passenger,Cherbourg,,57.75,35,Female,TRUE,
"SERREPLAN, Miss Auguste",1st Class Passenger,Southampton,Personal Maid,31,30,Female,TRUE,Servant
"SEWARD, Mr Frederic Kimber",1st Class Passenger,Southampton,Lawyer,26.55,34,Male,TRUE,
"SHUTES, Miss Elizabeth Weed",1st Class Passenger,Southampton,Governess,153.4625,40,Female,TRUE,Servant
"SILVERTHORNE, Mr Spencer Victor",1st Class Passenger,Southampton,,26.2875,35,Male,TRUE,
"SILVEY, Mr William Baird",1st Class Passenger,Cherbourg,Businessman,55.9,51,Male,FALSE,
"SILVEY, Mrs Alice Gray",1st Class Passenger,Cherbourg,,55.9,39,Female,TRUE,
