Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Latitude,Longtitude,RegionName
Abbotsford,House,1165000,Sold,Jellis,29/04/2017,3,2,0,92,1888,Yarra City Council,-37.797,144.9957,NORTHERN METROPOLITAN
Abbotsford,House,1402500,Sold,Jellis,27/05/2017,3,1,1,270,1960,Yarra City Council,-37.8023,144.99615,NORTHERN METROPOLITAN
Abbotsford,Unit,480000,Sold,hockingstuart,17/06/2017,2,1,1,601,1970,Yarra City Council,-37.80915,145.00066,NORTHERN METROPOLITAN
Abbotsford,Unit,750000,Sold Prior,Jellis,17/06/2017,2,1,1,2379,2013,Yarra City Council,-37.80554,144.99612,NORTHERN METROPOLITAN
Abbotsford,House,855000,Sold,Nelson,24/06/2017,3,2,1,92,2004,Yarra City Council,-37.79683,144.99586,NORTHERN METROPOLITAN
Abbotsford,House,1190000,Sold,Biggin,22/07/2017,2,2,1,147,2000,Yarra City Council,-37.80269,145.0001,NORTHERN METROPOLITAN
Abbotsford,House,1635000,Sold,Nelson,12/08/2017,3,1,0,142,1880,Yarra City Council,-37.80359,144.99538,NORTHERN METROPOLITAN
Abbotsford,House,1000000,Passed In,Biggin,19/08/2017,3,1,2,196,1900,Yarra City Council,-37.80094,144.99569,NORTHERN METROPOLITAN
Abbotsford,House,1240000,Sold,Nelson,7/10/2017,3,1,1,159,1890,Yarra City Council,-37.80124,144.99459,NORTHERN METROPOLITAN
Abbotsford,House,1200000,Sold,Biggin,14/10/2017,2,1,0,135,1890,Yarra City Council,-37.80309,144.99691,NORTHERN METROPOLITAN
Abbotsford,House,1300000,Passed In,Jellis,11/11/2017,2,1,1,113,1900,Yarra City Council,-37.8039,144.9957,NORTHERN METROPOLITAN
Abbotsford,House,955000,Sold,Biggin,17/02/2018,3,2,2,86,2004,Yarra City Council,-37.79686,144.99621,NORTHERN METROPOLITAN
Abbotsford,House,1200000,Sold,Biggin,17/02/2018,3,1,1,211,1970,Yarra City Council,-37.80864,144.99386,NORTHERN METROPOLITAN
Abbotsford,House,1366000,Sold,Jellis,17/03/2018,3,1,2,307,1900,Yarra City Council,-37.80103,144.99929,NORTHERN METROPOLITAN
Aberfeldie,Unit,470000,Sold,Brad,7/05/2016,2,1,1,976,2000,Moonee Valley City Council,-37.7557,144.9037,WESTERN METROPOLITAN
Aberfeldie,House,1350000,Sold,Nelson,28/05/2016,3,2,2,1076,1960,Moonee Valley City Council,-37.7609,144.8905,WESTERN METROPOLITAN
Aberfeldie,House,1740000,Sold,Nelson,18/06/2016,3,3,2,839,1925,Moonee Valley City Council,-37.759,144.9015,WESTERN METROPOLITAN
Aberfeldie,Townhouse,935000,Sold Prior,Nelson,10/09/2016,3,2,2,217,2005,Moonee Valley City Council,-37.7591,144.8923,WESTERN METROPOLITAN
Aberfeldie,House,1190000,Sold,Barry Plant,17/09/2016,3,1,1,465,1950,Moonee Valley City Council,-37.7626,144.8954,WESTERN METROPOLITAN
Aberfeldie,Unit,726000,Sold,Barry Plant,24/09/2016,3,1,1,229,1996,Moonee Valley City Council,-37.7606,144.8973,WESTERN METROPOLITAN
Aberfeldie,House,1346000,Sold,Nelson,8/10/2016,2,2,2,559,1995,Moonee Valley City Council,-37.7614,144.8925,WESTERN METROPOLITAN
Aberfeldie,House,1720000,Passed In,Nelson,15/10/2016,3,2,1,676,1965,Moonee Valley City Council,-37.7632,144.898,WESTERN METROPOLITAN
Aberfeldie,House,1705000,Sold,Nelson,15/10/2016,2,1,2,809,1980,Moonee Valley City Council,-37.7587,144.9015,WESTERN METROPOLITAN
Aberfeldie,House,760000,Sold Prior,McDonald,7/11/2016,3,1,1,321,1940,Moonee Valley City Council,-37.757,144.896,WESTERN METROPOLITAN
Aberfeldie,House,1200000,Passed In,Nelson,19/11/2016,4,2,2,578,2010,Moonee Valley City Council,-37.7614,144.8953,WESTERN METROPOLITAN
Aberfeldie,House,3900000,Sold,Nelson,10/12/2016,4,4,4,670,2010,Moonee Valley City Council,-37.7637,144.8931,WESTERN METROPOLITAN
Aberfeldie,Unit,1160000,Sold,Nelson,11/02/2017,3,2,1,309,2007,Moonee Valley City Council,-37.7642,144.895,WESTERN METROPOLITAN
Aberfeldie,House,1150000,Passed In,Nelson,11/02/2017,4,2,2,578,2010,Moonee Valley City Council,-37.7614,144.8953,WESTERN METROPOLITAN
Aberfeldie,Townhouse,1300000,Sold Prior,Barry Plant,25/02/2017,3,3,1,593,2016,Moonee Valley City Council,-37.7584,144.8968,WESTERN METROPOLITAN
Aberfeldie,House,1646000,Sold,Rendina,4/03/2017,4,3,2,757,1950,Moonee Valley City Council,-37.7606,144.8909,WESTERN METROPOLITAN
Aberfeldie,Unit,380000,Passed In,Brad,18/03/2017,2,1,1,622,1970,Moonee Valley City Council,-37.7557,144.8966,WESTERN METROPOLITAN
Aberfeldie,House,1300000,Sold,Nelson,8/04/2017,3,3,2,240,2013,Moonee Valley City Council,-37.762,144.8916,WESTERN METROPOLITAN
Aberfeldie,House,470000,Sold,Barry Plant,8/04/2017,2,1,1,70,1980,Moonee Valley City Council,-37.7564,144.9043,WESTERN METROPOLITAN
Aberfeldie,House,1740000,Passed In,Nelson,29/04/2017,4,2,2,746,1950,Moonee Valley City Council,-37.7595,144.8993,WESTERN METROPOLITAN
Aberfeldie,House,2905000,Sold,Rendina,27/05/2017,5,3,2,557,2010,Moonee Valley City Council,-37.76181,144.89327,WESTERN METROPOLITAN
Aberfeldie,House,1680000,Sold Prior,Raine,22/07/2017,3,2,2,673,1965,Moonee Valley City Council,-37.76316,144.89799,WESTERN METROPOLITAN
Aberfeldie,Unit,310000,Sold,Brad,22/07/2017,1,1,1,1715,1970,Moonee Valley City Council,-37.75882,144.9027,WESTERN METROPOLITAN
Aberfeldie,House,1436000,Sold,Brad,3/09/2017,4,3,3,511,1922,Moonee Valley City Council,-37.75788,144.90487,WESTERN METROPOLITAN
Aberfeldie,House,1650000,Sold Prior,Barry Plant,16/09/2017,4,2,1,484,1950,Moonee Valley City Council,-37.7609,144.89886,WESTERN METROPOLITAN
Aberfeldie,House,1830000,Sold,Rendina,23/09/2017,5,4,4,730,2014,Moonee Valley City Council,-37.7595,144.89427,WESTERN METROPOLITAN
Aberfeldie,House,2600000,Sold,Nelson,21/10/2017,4,2,4,923,1925,Moonee Valley City Council,-37.75923,144.90527,WESTERN METROPOLITAN
Aberfeldie,House,1905000,Sold Prior,Brad,21/10/2017,4,2,2,797,1930,Moonee Valley City Council,-37.75857,144.89572,WESTERN METROPOLITAN
Aberfeldie,Townhouse,1150000,Sold,Barry Plant,11/11/2017,3,2,1,224,2013,Moonee Valley City Council,-37.7556,144.899,WESTERN METROPOLITAN
Aberfeldie,House,1700000,Passed In,Brad,18/11/2017,4,2,2,734,1950,Moonee Valley City Council,-37.7604,144.891,WESTERN METROPOLITAN
Aberfeldie,House,1825000,Passed In,Nelson,18/11/2017,5,2,2,691,1925,Moonee Valley City Council,-37.756,144.9002,WESTERN METROPOLITAN
Airport West,House,830000,Sold,Barry Plant,16/04/2016,3,1,2,971,1960,Moonee Valley City Council,-37.7186,144.876,WESTERN METROPOLITAN
Airport West,House,725000,Sold Prior,Barry Plant,7/05/2016,6,3,2,976,1980,Moonee Valley City Council,-37.7239,144.8735,WESTERN METROPOLITAN
Airport West,Townhouse,450000,Sold,Barry Plant,7/05/2016,2,1,1,110,2015,Moonee Valley City Council,-37.7216,144.871,WESTERN METROPOLITAN
Airport West,House,685000,Sold,Barry Plant,22/05/2016,3,1,1,579,1975,Moonee Valley City Council,-37.7226,144.8733,WESTERN METROPOLITAN
Airport West,Townhouse,540000,Sold Prior,Nelson,18/06/2016,2,2,1,161,2010,Moonee Valley City Council,-37.7231,144.8802,WESTERN METROPOLITAN
Airport West,Unit,462500,Sold,Barry Plant,16/07/2016,2,1,1,164,2003,Moonee Valley City Council,-37.7218,144.8863,WESTERN METROPOLITAN
Airport West,House,675000,Sold,Barry Plant,16/07/2016,2,1,1,612,1975,Moonee Valley City Council,-37.7187,144.8765,WESTERN METROPOLITAN
Airport West,House,1042000,Sold,Nelson,16/07/2016,3,2,5,612,1950,Moonee Valley City Council,-37.7173,144.8796,WESTERN METROPOLITAN
Airport West,Townhouse,840000,Passed In,Nelson,3/09/2016,3,2,1,303,2016,Moonee Valley City Council,-37.718,144.878,WESTERN METROPOLITAN
Airport West,Unit,530000,Sold,Nelson,10/09/2016,2,1,1,120,2012,Moonee Valley City Council,-37.7234,144.8792,WESTERN METROPOLITAN
Airport West,House,895000,Passed In,Rendina,10/09/2016,3,1,6,1063,1975,Moonee Valley City Council,-37.7249,144.8728,WESTERN METROPOLITAN
Airport West,House,773000,Sold,Brad,17/09/2016,5,3,4,531,1980,Moonee Valley City Council,-37.7263,144.8679,WESTERN METROPOLITAN
Airport West,Townhouse,700000,Passed In,Brad,15/10/2016,3,2,2,165,2009,Moonee Valley City Council,-37.727,144.887,WESTERN METROPOLITAN
Airport West,Unit,515000,Sold,Barry Plant,7/11/2016,2,1,1,141,2013,Moonee Valley City Council,-37.7298,144.8883,WESTERN METROPOLITAN
Airport West,Townhouse,825000,Sold Prior,Barry Plant,19/11/2016,3,2,1,293,1960,Moonee Valley City Council,-37.72,144.8776,WESTERN METROPOLITAN
Airport West,House,900000,Sold,Harcourts,27/11/2016,4,2,3,628,1975,Moonee Valley City Council,-37.7256,144.8739,WESTERN METROPOLITAN
Airport West,Unit,752000,Sold,Nelson,11/02/2017,3,1,1,265,1993,Moonee Valley City Council,-37.7302,144.8855,WESTERN METROPOLITAN
Airport West,House,603000,Sold,Nelson,4/03/2017,2,1,1,272,1950,Moonee Valley City Council,-37.7294,144.888,WESTERN METROPOLITAN
Airport West,Townhouse,700000,Sold,Brad,4/03/2017,3,2,2,239,2009,Moonee Valley City Council,-37.7218,144.8837,WESTERN METROPOLITAN
Airport West,Unit,500000,Passed In,Barry Plant,4/03/2017,2,1,1,168,2011,Moonee Valley City Council,-37.7215,144.8864,WESTERN METROPOLITAN
Airport West,House,810000,Passed In,Barry Plant,18/03/2017,3,3,2,555,1980,Moonee Valley City Council,-37.7285,144.8694,WESTERN METROPOLITAN
Airport West,House,715000,Sold,Rendina,18/03/2017,3,2,2,422,1995,Moonee Valley City Council,-37.7164,144.8792,WESTERN METROPOLITAN
Airport West,House,872500,Sold,Nelson,8/04/2017,3,1,1,594,1950,Moonee Valley City Council,-37.7203,144.8757,WESTERN METROPOLITAN
Airport West,House,720000,Sold,Brad,8/04/2017,3,2,2,305,2008,Moonee Valley City Council,-37.7284,144.8874,WESTERN METROPOLITAN
Airport West,House,510000,Passed In,Nelson,29/04/2017,3,1,1,488,1960,Moonee Valley City Council,-37.7191,144.8857,WESTERN METROPOLITAN
Airport West,Unit,480000,Passed In,Barry Plant,29/04/2017,2,1,1,128,2009,Moonee Valley City Council,-37.7216,144.8837,WESTERN METROPOLITAN
Airport West,Townhouse,856000,Sold,Barry Plant,27/05/2017,3,2,1,300,2011,Moonee Valley City Council,-37.71917,144.87819,WESTERN METROPOLITAN
Airport West,Townhouse,730000,Sold,Brad,17/06/2017,3,1,2,242,2010,Moonee Valley City Council,-37.72893,144.88859,WESTERN METROPOLITAN
Airport West,Unit,737500,Sold Prior,Brad,24/06/2017,3,2,2,143,2012,Moonee Valley City Council,-37.72967,144.88835,WESTERN METROPOLITAN
Airport West,House,905000,Sold,Jellis,24/06/2017,3,1,2,573,1965,Moonee Valley City Council,-37.72908,144.88327,WESTERN METROPOLITAN
Airport West,House,640000,Sold,Nelson,1/07/2017,3,1,2,219,1960,Moonee Valley City Council,-37.71655,144.88155,WESTERN METROPOLITAN
Airport West,House,961000,Sold,Nelson,1/07/2017,3,1,2,717,1950,Moonee Valley City Council,-37.72274,144.88002,WESTERN METROPOLITAN
Airport West,Unit,670000,Sold,Nelson,8/07/2017,3,1,2,169,2000,Moonee Valley City Council,-37.72752,144.88358,WESTERN METROPOLITAN
Airport West,Unit,454000,Sold,Nelson,22/07/2017,2,1,1,182,1985,Moonee Valley City Council,-37.72158,144.8801,WESTERN METROPOLITAN
Airport West,House,1000001,Sold,Nelson,9/09/2017,3,2,1,697,2017,Moonee Valley City Council,-37.72812,144.88735,WESTERN METROPOLITAN
Airport West,House,850000,Sold,Brad,23/09/2017,3,1,2,551,1950,Moonee Valley City Council,-37.72739,144.88235,WESTERN METROPOLITAN
Airport West,House,790000,Sold,Raine,7/10/2017,3,1,5,536,1980,Moonee Valley City Council,-37.72285,144.87539,WESTERN METROPOLITAN
Airport West,House,730000,Passed In,Nelson,14/10/2017,3,2,1,548,2017,Moonee Valley City Council,-37.72741,144.87919,WESTERN METROPOLITAN
Airport West,House,770000,Passed In,Barry Plant,14/10/2017,3,2,2,616,1960,Moonee Valley City Council,-37.72367,144.87059,WESTERN METROPOLITAN
Airport West,House,805000,Sold,Nelson,14/10/2017,3,1,2,540,1960,Moonee Valley City Council,-37.72459,144.87406,WESTERN METROPOLITAN
Airport West,House,730000,Sold,Barry Plant,21/10/2017,3,1,1,377,1970,Moonee Valley City Council,-37.72313,144.87527,WESTERN METROPOLITAN
Airport West,House,926000,Sold,Nelson,21/10/2017,3,1,2,614,1960,Moonee Valley City Council,-37.71757,144.88228,WESTERN METROPOLITAN
Airport West,House,965000,Passed In,Nelson,28/10/2017,4,2,1,730,1950,Moonee Valley City Council,-37.7204,144.87419,WESTERN METROPOLITAN
Airport West,House,870000,Passed In,Barry Plant,28/10/2017,6,3,2,976,1980,Moonee Valley City Council,-37.72394,144.87348,WESTERN METROPOLITAN
Airport West,House,845000,Sold,Barry Plant,28/10/2017,3,3,3,612,1970,Moonee Valley City Council,-37.72483,144.87087,WESTERN METROPOLITAN
Airport West,House,776000,Sold,Nelson,9/12/2017,3,2,2,190,2012,Moonee Valley City Council,-37.73026,144.88652,WESTERN METROPOLITAN
Airport West,House,1220000,Sold,Barry Plant,9/12/2017,4,2,5,585,1960,Moonee Valley City Council,-37.72379,144.88391,WESTERN METROPOLITAN
Airport West,House,970000,Sold,Barry Plant,6/01/2018,3,1,2,634,1960,Moonee Valley City Council,-37.72904,144.88259,WESTERN METROPOLITAN
Airport West,House,790000,Passed In,Barry Plant,6/01/2018,4,2,1,585,2015,Moonee Valley City Council,-37.73344,144.88925,WESTERN METROPOLITAN
Airport West,House,1025000,Passed In,Jellis,20/01/2018,5,2,3,764,1980,Moonee Valley City Council,-37.72282,144.88373,WESTERN METROPOLITAN
Airport West,House,975000,Sold,Nelson,3/03/2018,3,2,1,303,2017,Moonee Valley City Council,-37.73174,144.88086,WESTERN METROPOLITAN
Airport West,Townhouse,891000,Sold,Nelson,3/03/2018,3,2,2,314,2017,Moonee Valley City Council,-37.71968,144.87756,WESTERN METROPOLITAN
Albanvale,House,555000,Sold Prior,Sweeney,29/07/2017,3,1,3,566,1980,Brimbank City Council,-37.74306,144.76679,WESTERN METROPOLITAN
Albanvale,House,506000,Sold,hockingstuart,19/08/2017,3,1,2,544,1980,Brimbank City Council,-37.74965,144.77009,WESTERN METROPOLITAN
Albanvale,House,560000,Sold,Barry Plant,11/11/2017,4,1,2,546,1978,Brimbank City Council,-37.744,144.7672,WESTERN METROPOLITAN
Albert Park,House,2000000,Passed In,RT,16/04/2016,3,2,1,211,1900,Port Phillip City Council,-37.847,144.9575,SOUTHERN METROPOLITAN
Albert Park,House,2100000,Sold Prior,Marshall,23/04/2016,2,1,1,120,1900,Port Phillip City Council,-37.8427,144.9546,SOUTHERN METROPOLITAN
Albert Park,House,2300000,Sold,Marshall,7/05/2016,4,2,1,153,1880,Port Phillip City Council,-37.8447,144.9523,SOUTHERN METROPOLITAN
Albert Park,House,980000,Sold,Greg,28/05/2016,2,1,0,79,1890,Port Phillip City Council,-37.8387,144.9519,SOUTHERN METROPOLITAN
Albert Park,House,2800000,Passed In,Cayzer,18/06/2016,4,3,1,327,1910,Port Phillip City Council,-37.8467,144.9475,SOUTHERN METROPOLITAN
Albert Park,House,2140000,Sold,Greg,27/06/2016,3,2,1,183,1880,Port Phillip City Council,-37.8434,144.9495,SOUTHERN METROPOLITAN
Albert Park,House,985000,Sold,Marshall,30/07/2016,1,1,0,81,1900,Port Phillip City Council,-37.8411,144.9497,SOUTHERN METROPOLITAN
Albert Park,House,1110000,Sold,Marshall,6/08/2016,1,1,0,147,1900,Port Phillip City Council,-37.8444,144.9484,SOUTHERN METROPOLITAN
Albert Park,House,1740000,Passed In,Marshall,28/08/2016,3,2,2,147,1890,Port Phillip City Council,-37.8448,144.9453,SOUTHERN METROPOLITAN
Albert Park,House,1275000,Sold,hockingstuart,3/09/2016,2,1,0,120,1900,Port Phillip City Council,-37.8459,144.9555,SOUTHERN METROPOLITAN
Albert Park,House,2120000,Sold,Greg,10/09/2016,2,1,1,199,1900,Port Phillip City Council,-37.8422,144.9554,SOUTHERN METROPOLITAN
Albert Park,House,1800000,Sold,Marshall,10/09/2016,3,2,1,90,1900,Port Phillip City Council,-37.8421,144.9571,SOUTHERN METROPOLITAN
Albert Park,House,2000000,Passed In,Marshall,24/09/2016,3,1,1,238,1890,Port Phillip City Council,-37.8461,144.9528,SOUTHERN METROPOLITAN
Albert Park,House,1322500,Sold,Greg,15/10/2016,2,1,0,149,1890,Port Phillip City Council,-37.8443,144.9481,SOUTHERN METROPOLITAN
Albert Park,House,1562500,Sold,Greg,15/10/2016,2,1,0,141,1890,Port Phillip City Council,-37.8424,144.9562,SOUTHERN METROPOLITAN
Albert Park,House,1800000,Passed In,Greg,7/11/2016,3,2,1,132,1996,Port Phillip City Council,-37.8415,144.952,SOUTHERN METROPOLITAN
Albert Park,House,2615000,Sold,Cayzer,10/12/2016,3,2,1,177,1880,Port Phillip City Council,-37.8415,144.9585,SOUTHERN METROPOLITAN
Albert Park,House,4735000,Sold,Marshall,25/02/2017,4,2,1,330,1910,Port Phillip City Council,-37.8477,144.9558,SOUTHERN METROPOLITAN
Albert Park,House,2850000,Passed In,Buxton,4/03/2017,3,2,0,211,1890,Port Phillip City Council,-37.8481,144.9499,SOUTHERN METROPOLITAN
Albert Park,House,1850000,Sold,Greg,4/03/2017,3,2,0,128,1890,Port Phillip City Council,-37.8452,144.9488,SOUTHERN METROPOLITAN
Albert Park,House,1436000,Sold,RT,4/03/2017,2,1,0,130,1900,Port Phillip City Council,-37.8431,144.9565,SOUTHERN METROPOLITAN
Albert Park,House,1900000,Sold,Greg,18/03/2017,3,1,0,209,1900,Port Phillip City Council,-37.8468,144.9546,SOUTHERN METROPOLITAN
Albert Park,House,3010000,Sold,Greg,18/03/2017,3,2,0,147,1890,Port Phillip City Council,-37.8473,144.9551,SOUTHERN METROPOLITAN
Albert Park,House,1190000,Sold,RT,29/04/2017,2,1,0,111,1915,Port Phillip City Council,-37.8445,144.9489,SOUTHERN METROPOLITAN
Albert Park,House,1700000,Passed In,Greg,6/05/2017,3,1,1,178,1910,Port Phillip City Council,-37.8473,144.9495,SOUTHERN METROPOLITAN
Albert Park,House,2150000,Sold,Marshall,20/05/2017,3,1,1,163,1890,Port Phillip City Council,-37.8473,144.955,SOUTHERN METROPOLITAN
Albert Park,House,1505000,Sold,Cayzer,27/05/2017,3,1,1,149,1890,Port Phillip City Council,-37.84587,144.94828,SOUTHERN METROPOLITAN
Albert Park,House,2500000,Passed In,Greg,3/06/2017,3,2,1,165,1890,Port Phillip City Council,-37.84152,144.95027,SOUTHERN METROPOLITAN
Albert Park,Unit,685000,Passed In,Greg,24/06/2017,2,1,0,324,1930,Port Phillip City Council,-37.84469,144.95578,SOUTHERN METROPOLITAN
Albert Park,House,1535000,Sold,Greg,1/07/2017,2,1,0,171,1900,Port Phillip City Council,-37.8481,144.9566,SOUTHERN METROPOLITAN
Albert Park,House,2340000,Sold,Greg,26/08/2017,3,2,1,162,1880,Port Phillip City Council,-37.84398,144.95044,SOUTHERN METROPOLITAN
Albert Park,House,1330000,Sold,Marshall,14/10/2017,2,1,0,122,1890,Port Phillip City Council,-37.84588,144.95559,SOUTHERN METROPOLITAN
Albert Park,House,3600000,Passed In,Greg,14/10/2017,4,3,1,177,1890,Port Phillip City Council,-37.84787,144.95333,SOUTHERN METROPOLITAN
Albert Park,House,3000000,Passed In,Marshall,11/11/2017,6,3,2,156,2011,Port Phillip City Council,-37.8433,144.9457,SOUTHERN METROPOLITAN
Albion,House,765000,Sold After Auction,Barry Plant,4/02/2016,2,1,2,672,1958,Brimbank City Council,-37.7812,144.8121,WESTERN METROPOLITAN
Albion,House,600000,Sold Prior,Barry Plant,22/05/2016,2,1,1,534,1950,Brimbank City Council,-37.7795,144.8204,WESTERN METROPOLITAN
Albion,House,600000,Passed In,Sweeney,22/05/2016,3,1,1,697,1928,Brimbank City Council,-37.7842,144.8175,WESTERN METROPOLITAN
Albion,House,593000,Sold Prior,Sweeney,4/06/2016,3,2,2,605,1965,Brimbank City Council,-37.7792,144.8117,WESTERN METROPOLITAN
Albion,Unit,185000,Sold,hockingstuart,22/08/2016,1,1,1,2347,1975,Brimbank City Council,-37.7852,144.8272,WESTERN METROPOLITAN
Albion,House,670000,Sold,Barry Plant,15/10/2016,2,1,2,697,1950,Brimbank City Council,-37.7835,144.8176,WESTERN METROPOLITAN
Albion,House,840000,Sold,Barry Plant,27/11/2016,3,1,0,697,1920,Brimbank City Council,-37.7809,144.8228,WESTERN METROPOLITAN
Albion,Townhouse,300000,Passed In,FN,11/02/2017,2,1,1,74,1970,Brimbank City Council,-37.7836,144.8256,WESTERN METROPOLITAN
Albion,Unit,560000,Sold,Douglas,25/02/2017,3,2,7,420,1970,Brimbank City Council,-37.7848,144.8231,WESTERN METROPOLITAN
Albion,House,730000,Sold,hockingstuart,4/03/2017,3,2,3,628,1960,Brimbank City Council,-37.7801,144.8121,WESTERN METROPOLITAN
Albion,Unit,580000,Passed In,Douglas,13/05/2017,3,2,2,250,2013,Brimbank City Council,-37.7798,144.8156,WESTERN METROPOLITAN
Albion,Unit,200000,Passed In,FN,20/05/2017,1,1,1,1175,1970,Brimbank City Council,-37.7849,144.8272,WESTERN METROPOLITAN
Albion,Unit,600000,Sold After Auction,Douglas,20/05/2017,3,1,1,181,2000,Brimbank City Council,-37.7815,144.8128,WESTERN METROPOLITAN
Albion,Unit,600000,Sold After Auction,Douglas,27/05/2017,3,2,2,247,2013,Brimbank City Council,-37.77976,144.81559,WESTERN METROPOLITAN
Albion,House,787000,Sold,hockingstuart,3/06/2017,3,1,3,716,1955,Brimbank City Council,-37.77917,144.81407,WESTERN METROPOLITAN
Albion,House,570000,Sold,Barry Plant,1/07/2017,3,1,0,423,1920,Brimbank City Council,-37.77917,144.82223,WESTERN METROPOLITAN
Albion,Townhouse,580000,Passed In,Douglas,29/07/2017,3,2,2,175,2014,Brimbank City Council,-37.77856,144.82443,WESTERN METROPOLITAN
Albion,House,905000,Sold,hockingstuart,3/09/2017,5,2,3,732,1925,Brimbank City Council,-37.78345,144.82295,WESTERN METROPOLITAN
Albion,House,715000,Sold,Sweeney,21/10/2017,3,1,2,638,1960,Brimbank City Council,-37.78089,144.81141,WESTERN METROPOLITAN
Albion,House,655000,Sold,Douglas,24/02/2018,2,1,2,463,1950,Brimbank City Council,-37.78159,144.82373,WESTERN METROPOLITAN
Albion,House,750000,Sold Prior,Ray,17/03/2018,3,1,2,697,1950,Brimbank City Council,-37.77824,144.81604,WESTERN METROPOLITAN
Albion,House,781000,Sold,Barry Plant,17/03/2018,3,2,2,292,2015,Brimbank City Council,-37.77792,144.81678,WESTERN METROPOLITAN
Alphington,House,865000,Sold Prior,hockingstuart,22/05/2016,3,1,1,180,2010,Darebin City Council,-37.7802,145.0243,NORTHERN METROPOLITAN
Alphington,House,2840000,Sold,Nelson,12/06/2016,5,4,4,809,1910,Darebin City Council,-37.775,145.0268,NORTHERN METROPOLITAN
Alphington,House,1950000,Sold,Jellis,30/07/2016,4,2,3,589,1920,Darebin City Council,-37.7719,145.0309,NORTHERN METROPOLITAN
Alphington,House,1110000,Sold,Jellis,3/09/2016,3,2,2,208,2013,Darebin City Council,-37.7854,145.0325,NORTHERN METROPOLITAN
